TIME	SSID	RSSI	CHANNEL	TAG
08:46:22:472	OpenWrt4310	-61	3	0
08:46:23:532	SWSGP06	-62	7	0
08:46:23:532	TP-LINK_3G	-47	1	0
08:46:23:532	OpenWrt4310	-60	3	0
08:46:32:159	SWSGP06	-62	7	0
08:46:32:159	TP-LINK_3G	-48	1	0
08:46:32:159	OpenWrt4310	-57	3	0
08:46:33:236	SWSGP06	-59	7	0
08:46:33:236	TP-LINK_3G	-50	1	0
08:46:33:236	OpenWrt4310	-63	3	0
08:46:34:295	SWSGP06	-57	7	0
08:46:34:295	S3GS_0611	-98	6	0
08:46:34:295	TP-LINK_3G	-49	1	0
08:46:34:295	OpenWrt4310	-63	3	0
08:46:35:354	SWSGP06	-59	7	0
08:46:35:354	S3GS_0611	-98	6	0
08:46:35:354	TP-LINK_3G	-49	1	0
08:46:35:354	OpenWrt4310	-65	3	0
08:46:36:414	SWSGP06	-60	7	0
08:46:36:414	S3GS_0611	-97	6	0
08:46:36:414	TP-LINK_3G	-48	1	0
08:46:36:414	OpenWrt4310	-63	3	0
08:46:37:486	SWSGP06	-63	7	0
08:46:37:486	S3GS_0611	-98	6	0
08:46:37:486	TP-LINK_3G	-47	1	0
08:46:37:486	OpenWrt4310	-61	3	0
08:46:38:721	SWSGP06	-59	7	0
08:46:38:721	S3GS_0611	-97	6	0
08:46:38:721	TP-LINK_3G	-45	1	0
08:46:38:721	OpenWrt4310	-66	3	0
08:46:39:782	SWSGP06	-63	7	0
08:46:39:782	S3GS_0611	-95	6	0
08:46:39:782	TP-LINK_3G	-43	1	0
08:46:39:782	OpenWrt4310	-67	3	0
08:46:40:842	SWSGP06	-79	7	0
08:46:40:842	S3GS_0611	-97	6	0
08:46:40:842	TP-LINK_3G	-40	1	0
08:46:40:842	OpenWrt4310	-63	3	0
08:46:41:918	SWSGP06	-65	7	0
08:46:41:918	S3GS_0611	-98	6	0
08:46:41:918	TP-LINK_3G	-36	1	0
08:46:41:918	OpenWrt4310	-61	3	0
08:46:42:978	SWSGP06	-80	7	0
08:46:42:978	S3GS_0611	-96	6	0
08:46:42:978	TP-LINK_3G	-40	1	0
08:46:42:978	OpenWrt4310	-61	3	0
08:46:47:154	SWSGP06	-66	7	0
08:46:47:154	S3GS_0611	-97	6	0
